,text
114,"['mexico', 'pay', 'indirectli', 'wall', 'new', 'usmca', 'replac', 'nafta', 'far', 'money', 'come', 'u', 'tremend', 'danger', 'border', 'includ', 'larg', 'scale', 'crimin', 'drug', 'inflow', 'unit', 'state', 'militari', 'build', 'wall']"
115,"['countri', 'much', 'money', 'pour', 'drain', 'mani', 'year', 'come', 'border', 'secur', 'militari', 'democrat', 'fight', 'death', 'militari', 'complet', 'rebuilt', 'one', 'way', 'win', 'wall']"
116,"['countri', 'much', 'money', 'pour', 'drain', 'mani', 'year', 'democrat', 'fight', 'us', 'like', 'cat', 'dog', 'come', 'spend', 'boarder', 'secur', 'includ', 'wall', 'militari', 'militari', 'complet', 'rebuilt', 'win']"
117,"['keep', 'commun', 'safer', 'provid', 'hope', 'second', 'chanc', 'earn', 'addit', 'everyth', 'els', 'billion', 'dollar', 'save', 'look', 'forward', 'sign', 'law']"
118,"['america', 'greatest', 'countri', 'world', 'job', 'fight', 'citizen', 'even', 'made', 'mistak', 'congratul', 'senat', 'bi', 'partisan', 'pass', 'histor', 'crimin', 'justic', 'reform', 'bill']"
119,"['democrat', 'say', 'loud', 'clear', 'want', 'build', 'concret', 'wall', 'build', 'concret', 'wall', 'build', 'artist', 'design', 'steel', 'slat', 'easili', 'see']"
120,"['beauti', 'time', 'give', 'countri', 'secur', 'citizen', 'deserv', 'go', 'fast', 'save', 'us', 'billion', 'dollar', 'month', 'complet']"
121,"['congratul', 'appoint', 'governor', 'great', 'new', 'senat', 'arizona', 'doubt', 'fantast', 'job']"
122,"['presid', 'donald', 'j', 'trump', 'commiss', 'school', 'safeti', 'examin', 'way', 'make', 'school', 'safe', 'student', 'teacher', 'read']"
125,"['michael', 'isikoff', 'first', 'report', 'dossier', 'alleg', 'serious', 'doubt', 'dossier', 'claim', 'whole', 'russian', 'collus', 'thing', 'hoax', 'go', 'restor', 'good', 'name', 'mani', 'peopl', 'whose', 'reput', 'destroy']"
